id,title,price,promo_price,url
1686487,"Ноутбук Huawei MateBook D 16, 53012QWM,  серый","
                                    73 990
                            ","
                                    73 890
                            ",https://www.citilink.ru/product/noutbuk-huawei-matebook-d-16-ryzen-5-4600h-16gb-ssd512gb-16-1-ips-fhd-1686487/
1617484,"Ноутбук Huawei MateBook 14, 53012NVL,  серый","
                                    79 990
                            ","
                                    79 890
                            ",https://www.citilink.ru/product/noutbuk-huawei-matebook-14-i5-1135g7-16gb-ssd512gb-14-ips-w10-grey-1617484/
1595005,"Ноутбук Lenovo IP Gaming 3 15ACH6, 82K201D1RK,  черный","
                                    87 990
                            ","
                                    87 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd256gb-rtx-3050-1595005/
1635667,"Ультрабук Honor MagicBook  X14, 5301AAPL,  серый","
                                    44 990
                            ","
                                    44 890
                            ",https://www.citilink.ru/product/ultrabuk-honor-magicbook-i3-10110u-8gb-ssd256gb-15-6-ips-fhd-w10h-silv-1635667/
1618861,"Ноутбук Acer Nitro 5 AN515-57-51GK, NH.QESER.003,  черный","
                                    95 990
                            ","
                                    95 970
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-an515-57-51gk-i5-11400h-16gb-ssd512gb-rtx-3050-ti-1618861/
1404159,"Ноутбук Acer Aspire 3 A315-23-R5B8, NX.HVUER.006,  серебристый","
                                    40 990
                            ","
                                    40 970
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5b8-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404159/
1402165,"Ноутбук HP 15s-eq1138ur, 22V11EA,  серый","
                                    23 990
                            ","
                                    23 890
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-eq1138ur-athlon-3020e-4gb-ssd128gb-15-6-ips-fhd-w10-gre-1402165/
1654771,"Ноутбук ASUS TUF Gaming A15 FA506IC-HN042W, 90NR0667-M008C0,  серый","
                                    95 990
                            ","
                                    95 890
                            ",https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fa506ic-hn042w-ryzen-5-4600h-8gb-ssd512gb-rtx-1654771/
1404156,"Ноутбук Acer Aspire 3 A315-23-R8WC, NX.HVTER.01L,  черный","
                                    38 990
                            ","
                                    38 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r8wc-ryzen-5-3500u-4gb-ssd256gb-15-6-fhd-1404156/
1473317,"Ноутбук HP 15s-fq0082ur, 3D4V8EA,  серый","
                                    27 190
                            ","
                                    27 090
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-fq0082ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-dos3-0-gre-1473317/
